"","lon","lat"
"545",NA,NA
"546",-85.6023643,44.3148443
"547",-74.0059413,40.7127837
"548",-79.9310512,32.7764749
"549",NA,NA
"550",NA,NA
"551",-74.0059413,40.7127837
"552",-122.4194155,37.7749295
"553",-94.5163876,46.8202373
"554",NA,NA
"555",-79.9958864,40.4406248
"556",-97.7430608,30.267153
"557",-119.4179324,36.778261
"558",NA,NA
"559",NA,NA
"560",NA,NA
"561",-95.712891,37.09024
"562",NA,NA
"563",-119.4179324,36.778261
"564",-106.2800242,43.4113604
"565",NA,NA
"566",NA,NA
"567",-91.9623327,30.9842977
"568",NA,NA
"569",NA,NA
"570",NA,NA
"571",-95.712891,37.09024
"572",-74.4056612,40.0583238
"573",NA,NA
"574",-77.1945247,41.2033216
"575",NA,NA
"576",-68.2537463,44.5291357
"577",NA,NA
"578",NA,NA
"579",NA,NA
"580",NA,NA
"581",-86.5804473,35.5174913
"582",NA,NA
"583",NA,NA
"584",NA,NA
"585",-77.0368707,38.9071923
"586",-95.712891,37.09024
"587",-93.1401647,32.9620847
"588",NA,NA
"589",-2.13125,49.214439
"590",NA,NA
"591",NA,NA
"592",138.6007456,-34.9284989
"593",-74.0059413,40.7127837
"594",-95.712891,37.09024
"595",-76.3055144,40.0378755
"596",NA,NA
"597",NA,NA
"598",-74.0059413,40.7127837
"599",-95.712891,37.09024
"600",-3.435973,55.378051
"601",NA,NA
"602",-82.9571265,40.1822849
"603",NA,NA
"604",NA,NA
"605",NA,NA
"606",-89.0187222,42.6827885
"607",-122.989827,45.5228939
"608",NA,NA
"609",-95.712891,37.09024
"610",NA,NA
"611",NA,NA
"612",NA,NA
"613",NA,NA
"614",-74.8909988,39.934002
"615",-70.9915997,42.4136428
"616",-95.712891,37.09024
"617",-4.486076,48.390394
"618",-96.7969879,32.7766642
"619",11.5819806,48.1351253
"620",NA,NA
"621",-95.7607832,29.5821811
"622",-99.9018131,31.9685988
"623",-77.0368707,38.9071923
"624",NA,NA
"625",NA,NA
"626",-94.846681,39.7674578
"627",-106.4508639,52.9399159
"628",-3.435973,55.378051
"629",-106.6055534,35.0853336
"630",NA,NA
"631",-121.6957863,37.931868
"632",-86.5804473,35.5174913
"633",-89.4012302,43.0730517
"634",-118.5155901,34.0356331
"635",-95.3698028,29.7604267
"636",NA,NA
"637",-120.8499924,35.3659445
"638",NA,NA
"639",NA,NA
"640",NA,NA
"641",NA,NA
"642",-118.7797571,34.0259216
"643",-87.6297982,41.8781136
"644",NA,NA
"645",-82.9987942,39.9611755
"646",-82.9000751,32.1656221
"647",NA,NA
"648",NA,NA
"649",-118.3089661,34.1808392
"650",NA,NA
"651",-122.4194155,37.7749295
"652",-118.2436849,34.0522342
"653",-74.0059413,40.7127837
"654",-77.0368707,38.9071923
"655",-118.2436849,34.0522342
"656",-122.8037102,45.487062
"657",-73.9712488,40.7830603
"658",NA,NA
"659",-87.9064736,43.0389025
"660",-86.902298,32.3182314
"661",-76.4859544,44.2311717
"662",-118.2436849,34.0522342
"663",NA,NA
"664",-74.730345,45.0212762
"665",-95.712891,37.09024
"666",NA,NA
"667",-78.319747,44.309058
"668",NA,NA
"669",NA,NA
"670",-84.3879824,33.7489954
"671",NA,NA
"672",-95.712891,37.09024
"673",-73.134961,40.789142
"674",NA,NA
"675",NA,NA
"676",-118.2436849,34.0522342
"677",-82.6267345,27.7518284
"678",-91.1945688,34.8878719
"679",-95.712891,37.09024
"680",-118.2436849,34.0522342
"681",NA,NA
"682",NA,NA
"683",-118.2436849,34.0522342
"684",-71.0022705,42.2528772
"685",-117.9289469,33.6189101
"686",10.7710605,53.6989627
"687",-95.712891,37.09024
"688",-118.2436849,34.0522342
"689",NA,NA
"690",-118.2436849,34.0522342
"691",NA,NA
"692",-118.2436849,34.0522342
"693",NA,NA
"694",-73.3256753,40.6956552
"695",-97.1080656,32.735687
"696",NA,NA
"697",-110.6884653,32.5680492
"698",-118.3812562,34.187044
"699",-118.3870991,34.1395597
"700",-118.2436849,34.0522342
"701",NA,NA
"702",-74.0059413,40.7127837
"703",NA,NA
"704",-87.9064736,43.0389025
"705",NA,NA
"706",-105.8700901,34.5199402
"707",-74.0059413,40.7127837
"708",NA,NA
"709",-73.087749,41.6032207
"710",-118.2436849,34.0522342
"711",NA,NA
"712",NA,NA
"713",NA,NA
"714",-118.3870991,34.1395597
"715",-74.0059413,40.7127837
"716",-71.0588801,42.3600825
"717",NA,NA
"718",-90.1994042,38.6270025
"719",-77.0368707,38.9071923
"720",-75.6971931,45.4215296
"721",NA,NA
"722",NA,NA
"723",NA,NA
"724",NA,NA
"725",NA,NA
"726",-118.3870991,34.1395597
"727",-73.4081575,41.117744
"728",-77.4752667,38.7509488
"729",NA,NA
"730",-122.3320708,47.6062095
"731",NA,NA
"732",NA,NA
"733",-122.2913078,37.8271784
"734",-90.1994042,38.6270025
"735",NA,NA
"736",-120.7401386,47.7510741
"737",NA,NA
"738",NA,NA
"739",-80.6077132,28.3922182
"740",NA,NA
"741",NA,NA
"742",-71.3824374,42.4072107
"743",NA,NA
"744",NA,NA
"745",-95.712891,37.09024
"746",NA,NA
"747",NA,NA
"748",-94.5785667,39.0997265
"749",-77.4105409,39.4142688
"750",-81.7799871,24.5550593
"751",-80.1917902,25.7616798
"752",55.166667,25.216667
"753",NA,NA
"754",NA,NA
"755",2.213749,46.227638
"756",-86.5804473,35.5174913
"757",-99.9500904,49.848471
"758",NA,NA
"759",-0.1277583,51.5073509
"760",NA,NA
"761",NA,NA
"762",NA,NA
"763",-81.6498195,35.0717945
"764",-80.1494901,26.0112014
"765",NA,NA
"766",-94.6707917,38.9822282
"767",NA,NA
"768",-118.2436849,34.0522342
"769",-71.0588801,42.3600825
"770",NA,NA
"771",NA,NA
"772",NA,NA
"773",NA,NA
"774",NA,NA
"775",10.89779,48.3705449
"776",NA,NA
"777",-74.0059413,40.7127837
"778",-111.8314724,33.4151843
"779",-118.3617443,34.0900091
"780",NA,NA
"781",NA,NA
"782",78.96288,20.593684
"783",-95.712891,37.09024
"784",-95.712891,37.09024
"785",NA,NA
"786",NA,NA
"787",13.404954,52.5200066
"788",NA,NA
"789",-118.2228202,34.0479403
"790",NA,NA
"791",-99.9018131,31.9685988
"792",-85.6023643,44.3148443
"793",-95.712891,37.09024
"794",-73.2017811,40.7906538
"795",-94.5785667,39.0997265
"796",-73.9441579,40.6781784
"797",NA,NA
"798",NA,NA
"799",NA,NA
"800",-95.712891,37.09024
"801",-112.0740373,33.4483771
"802",-95.712891,37.09024
"803",-95.712891,37.09024
"804",-81.5157535,27.6648274
"805",NA,NA
"806",-75.1652215,39.9525839
"807",NA,NA
"808",-73.9712488,40.7830603
"809",-99.9018131,43.9695148
"810",NA,NA
"811",NA,NA
"812",1.2008551,51.2251035
"813",-66.1057355,18.4655394
"814",NA,NA
"815",NA,NA
"816",-123.1207375,49.2827291
"817",-81.5190053,41.0814447
"818",-95.712891,37.09024
"819",NA,NA
"820",-86.5861037,34.7303688
"821",-95.4171601,30.0799405
"822",NA,NA
"823",NA,NA
"824",-97.2053697,33.6504107
"825",-119.4179324,36.778261
"826",-77.0368707,38.9071923
"827",NA,NA
"828",NA,NA
"829",-119.0187125,35.3732921
"830",15.2551187,54.5259614
"831",-95.712891,37.09024
"832",-112.0740373,33.4483771
"833",NA,NA
"834",-93.0877196,45.0269101
"835",-101.4787355,32.2503979
"836",NA,NA
"837",NA,NA
"838",NA,NA
"839",-98.510188,29.6191659
"840",-147.7163889,64.8377778
"841",-81.5812755,28.419992
"842",-118.2436849,34.0522342
"843",NA,NA
"844",NA,NA
"845",NA,NA
"846",-77.0368707,38.9071923
"847",NA,NA
"848",-99.9018131,31.9685988
"849",25.748151,61.92411
"850",-75.5276699,38.9108325
"851",NA,NA
"852",NA,NA
"853",-95.712891,37.09024
"854",NA,NA
"855",NA,NA
"856",NA,NA
"857",NA,NA
"858",-77.0368707,38.9071923
"859",-78.8783689,42.8864468
"860",NA,NA
"861",NA,NA
"862",-82.6995443,27.8428025
"863",55.153889,25.175556
"864",NA,NA
"865",NA,NA
"866",-95.712891,37.09024
"867",-87.6297982,41.8781136
"868",NA,NA
"869",-84.2700179,37.8393332
"870",NA,NA
"871",-74.0059413,40.7127837
"872",NA,NA
"873",NA,NA
"874",-120.5542012,43.8041334
"875",-71.5723953,43.1938516
"876",NA,NA
"877",-80.1917902,25.7616798
"878",-74.2995928,40.6584212
"879",-102.4107493,34.2331373
"880",NA,NA
"881",NA,NA
"882",NA,NA
"883",NA,NA
"884",NA,NA
"885",-0.339436,51.752725
"886",NA,NA
"887",NA,NA
"888",-74.0059413,40.7127837
"889",-95.712891,37.09024
"890",-73.087749,41.6032207
"891",NA,NA
"892",NA,NA
"893",NA,NA
"894",-2.13125,49.214439
"895",-36.587909,-54.429579
"896",-113.4909267,53.544389
"897",-96.7969879,32.7766642
"898",NA,NA
"899",NA,NA
"900",-74.4056612,40.0583238
"901",NA,NA
"902",NA,NA
"903",NA,NA
"904",NA,NA
"905",-91.8318334,37.9642529
"906",-72.8070435,41.5381535
"907",NA,NA
"908",NA,NA
"909",NA,NA
"910",NA,NA
"911",NA,NA
"912",NA,NA
"913",-0.205389,51.5110287
"914",-74.7276626,39.4523385
"915",NA,NA
"916",-119.4179324,36.778261
"917",-75.0259637,39.4863773
"918",-77.1945247,41.2033216
"919",-122.6764816,45.5230622
"920",NA,NA
"921",NA,NA
"922",NA,NA
"923",NA,NA
"924",-118.2436849,34.0522342
"925",NA,NA
"926",8.468946,60.472024
"927",NA,NA
"928",NA,NA
"929",-77.0368707,38.9071923
"930",-84.3041145,33.6884432
"931",NA,NA
"932",-119.4179324,36.778261
"933",-84.5120196,39.1031182
"934",-95.712891,37.09024
"935",NA,NA
"936",-119.4179324,36.778261
"937",NA,NA
"938",NA,NA
"939",-71.1097335,42.3736158
"940",NA,NA
"941",NA,NA
"942",NA,NA
"943",NA,NA
"944",-88.7878678,43.7844397
"945",-82.907123,40.4172871
"946",NA,NA
"947",NA,NA
"948",-77.0368707,38.9071923
"949",-97.1383744,49.895136
"950",NA,NA
"951",-99.9018131,31.9685988
"952",NA,NA
"953",-102.4107493,34.2331373
"954",NA,NA
"955",NA,NA
"956",NA,NA
"957",-91.9623327,30.9842977
"958",NA,NA
"959",-89.3985283,32.3546679
"960",NA,NA
"961",NA,NA
"962",NA,NA
"963",NA,NA
"964",-118.2436849,34.0522342
"965",-122.3867537,47.5666668
"966",-117.1610838,32.715738
"967",-89.3985283,40.6331249
"968",-86.5804473,35.5174913
"969",-76.6121893,39.2903848
"970",-89.5331773,42.990831
"971",-102.4107493,34.2331373
"972",-95.712891,37.09024
"973",NA,NA
"974",-95.712891,37.09024
"975",NA,NA
"976",-118.2436849,34.0522342
"977",NA,NA
"978",NA,NA
"979",NA,NA
"980",NA,NA
"981",NA,NA
"982",-97.3307658,32.7554883
"983",NA,NA
"984",NA,NA
"985",-104.990251,39.7392358
"986",-122.4864404,37.788293
"987",-91.8318334,35.20105
"988",-81.6943605,41.49932
"989",-95.992775,36.1539816
"990",NA,NA
"991",NA,NA
"992",-95.2155158,30.1550179
"993",-82.907123,40.4172871
"994",NA,NA
"995",-89.3985283,40.6331249
"996",-79.0192997,35.7595731
"997",NA,NA
"998",NA,NA
"999",-106.2800242,43.4113604
"1000",NA,NA
"1001",-85.6023643,44.3148443
"1002",-99.9018131,31.9685988
"1003",90.4125181,23.810332
"1004",NA,NA
"1005",NA,NA
"1006",-122.4194155,37.7749295
"1007",-6.2603097,53.3498053
"1008",-71.0588801,42.3600825
"1009",NA,NA
"1010",8.227512,46.818188
"1011",-73.134961,40.789142
"1012",-104.8213634,38.8338816
"1013",NA,NA
"1014",-85.6023643,44.3148443
"1015",-122.4598502,47.4473204
"1016",-95.712891,37.09024
"1017",-77.4102607,37.244039
"1018",NA,NA
"1019",NA,NA
"1020",NA,NA
"1021",31.2370347,30.0315832
"1022",NA,NA
"1023",NA,NA
"1024",-111.6946475,40.2968979
"1025",NA,NA
"1026",NA,NA
"1027",-87.6297982,41.8781136
"1028",NA,NA
"1029",NA,NA
"1030",-87.6297982,41.8781136
"1031",NA,NA
"1032",NA,NA
"1033",NA,NA
"1034",-70.9410356,42.2180724
"1035",NA,NA
"1036",NA,NA
"1037",NA,NA
"1038",NA,NA
"1039",-87.4944873,41.6797578
"1040",-73.9441579,40.6781784
"1041",-89.3985283,40.6331249
"1042",NA,NA
"1043",NA,NA
"1044",-74.0059413,40.7127837
"1045",-71.3824374,42.4072107
"1046",NA,NA
"1047",NA,NA
"1048",NA,NA
"1049",-81.5157535,27.6648274
"1050",78.96288,20.593684
"1051",-97.7430608,30.267153
"1052",-70.099451,41.2834704
"1053",NA,NA
"1054",-0.730249,52.396322
"1055",NA,NA
"1056",-92.2895948,34.7464809
"1057",NA,NA
"1058",NA,NA
"1059",-73.087749,41.6032207
"1060",-95.6890185,39.0558235
"1061",-157.8583333,21.3069444
"1062",-122.4194155,37.7749295
"1063",NA,NA
"1064",-105.7820674,39.5500507
"1065",-106.2800242,43.4113604
"1066",-97.7430608,30.267153
"1067",NA,NA
"1068",-79.8711024,43.2557206
"1069",8.541694,47.3768866
"1070",NA,NA
"1071",NA,NA
"1072",-95.712891,37.09024
"1073",-77.0368707,38.9071923
"1074",-74.0059413,40.7127837
"1075",-97.7430608,30.267153
"1076",-73.1709604,44.4669941
"1077",-111.2822492,40.6104984
"1078",-117.8370968,33.6446621
"1079",NA,NA
"1080",-104.8213634,38.8338816
"1081",-74.0059413,40.7127837
"1082",78.96288,20.593684
"1083",NA,NA
"1084",-73.4686858,41.0771914
"1085",NA,NA
"1086",-0.1277583,51.5073509
"1087",-95.712891,37.09024
"1088",NA,NA
"1089",-122.2170661,47.4828776
"1090",-95.712891,37.09024
"1091",NA,NA
"1092",NA,NA
