"","screenName","text","retweetCount","score","absolute_score","lon","lat"
"108","bev_bowns","RT @1rantingrooster: Hillary doesn't have the integrity to be honest with the American people. #NeverHillary #NeverTrump",5,1,1,-117.6508876,34.0633443
"109","BeverlySimcic","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p‚Ä¶",1432,1,1,-79.9958864,40.4406248
"110","BewareTheBeliev","RT @BewareTheBeliev: @msnbc @abc @nbc @cbs Do ur job/History repeating itself/U know Trump UNFIT/UNQUALUFIED! Make case 2 ppl/get him OUT!‚Ä¶",2,1,1,-82.907123,40.4172871
"111","BewareTheBeliev","RT @BewareTheBeliev: @msnbc @nbc @abc @cbs STOP reporting Trump appts! Report how Constitution allows #STOPTrump &amp; do it! #UniteBlue #p2 #I‚Ä¶",1,1,1,-82.907123,40.4172871
"112","BewareTheBeliev","@msnbc @nbc @abc @cbs STOP reporting Trump appts! Report how Constitution allows #STOPTrump &amp; do it! #UniteBlue #p2 #Iam#HER #NeverTrump",1,1,1,-82.907123,40.4172871
"113","BewareTheBeliev","@msnbc @abc @nbc @cbs Do ur job/History repeating itself/U know Trump UNFIT/UNQUALUFIED! Make case 2 ppl/get him OUT! #UniteBlue #NeverTrump",2,1,1,-82.907123,40.4172871
"114","billbong9059","RT @ConstanceQueen8: 'Whatever It Takes': Michelle Malkin Tells Curt Schilling Mitt Romney Should Be Told 'NeverTrump Means Never Hired' ht‚Ä¶",265,-1,1,-117.966311,35.036276
"115","BillBushman","RT @bryanbehar: If America ever had a Fascist takeover, this is exactly what it would look like. #NeverTrump #NotMyPresident #USA Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏ http‚Ä¶",49,0,0,-118.4396756,34.1825782
"116","billcottonjr","As a #neverTrump independent will enjoy the circus high wire act he's forcing the news media to perform over the next 4 years @brianstelter",0,1,1,-86.7977672,37.9953335
"117","billslater","RT @ConstanceQueen8: 'Whatever It Takes': Michelle Malkin Tells Curt Schilling Mitt Romney Should Be Told 'NeverTrump Means Never Hired' ht‚Ä¶",265,-1,1,-87.6297982,41.8781136
"118","BillStricklin","RT @VivaLaAmes: VIDEO : Trump responds to the insane ""Russian Conspiracy Theory"" started by NeverTrump and pushed by Liberals.
https://t.co‚Ä¶",47,-1,1,-89.3985283,32.3546679
