"","screenName","text","retweetCount","score","absolute_score","lon","lat"
"83","amrightnow","""The Real Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain #tcot #trump https://t.co/qQN7E2gGHO",1,3,3,-74.4056612,40.0583238
"84","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/I9bYeXXN8b",0,1,1,-74.4056612,40.0583238
"85","amrightnow","""The Real Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain #tcot  #trumptrain https://t.co/55NY15jQIP",5,2,2,-74.4056612,40.0583238
"86","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/6olLIv2TSO",0,1,1,-74.4056612,40.0583238
"87","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/5xdpiwP4Un",0,1,1,-74.4056612,40.0583238
"88","amrightnow","""The Real Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain #tcot  #trumptrain https://t.co/zwYtNo1dVe",3,2,2,-74.4056612,40.0583238
"89","amrightnow","#Realdonaldtrump Follow The Road #MakeAmericaGreatAgain #WisconsinPrimary #Wisconsin #Wisconsinpoll""Unite America"" https://t.co/lgLza8N1pt",2,0,0,-74.4056612,40.0583238
"90","amrightnow","""The Real Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain #tcot  #trumptrain https://t.co/OxU05IesEB",1,2,2,-74.4056612,40.0583238
"91","amrightnow","""The Real Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain #tcot #trump https://t.co/0YOWKCcGOi",0,3,3,-74.4056612,40.0583238
"92","amrightnow","""The Real Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain #tcot #1A https://t.co/NoHyH71XKh",3,2,2,-74.4056612,40.0583238
"93","amrightnow","""The Real Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain #trumptrain https://t.co/OJ4qlfJ4Tw",0,2,2,-74.4056612,40.0583238
"94","amrightnow","""Watch Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain #tcot  #trumptrain https://t.co/64lcwt5T40",10,2,2,-74.4056612,40.0583238
"95","amy_cak","RT @Amityville_Kid: Do I Have Any Retweeters in position?  this is our chance to #MakeHistory  Help me #MakeAmericaGreatAgain and #KickHoll‚Ä¶",3,0,0,-87.6297982,41.8781136
"96","amymlcollins","#MakeAmericaGreatAgain #AmericaFirst #Trump45 Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏ https://t.co/lItMxdcMvH",0,0,0,-71.8634062,42.3517585
"97","AndrewChamberas","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",610,0,0,-77.6930602,43.2097837
"98","AndrewSellsCars","RT @Reince: Strong, qualified cabinet coming together ahead of previous administrations. Best and brightest ready to #MakeAmericaGreatAgain",1873,5,5,-94.5146616,35.4212021
"99","AndrewSErickson","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",610,0,0,-71.3128285,41.4901024
"100","Andromodid","RT @MullisMarilyn: #BuyAmerican
#HireAmerican
#America1st
#DrainTheSwamp
#MakeAmericaGreatAgain https://t.co/VoRlx3UGwB",6,0,0,-115.1398296,36.1699412
"101","AndyWHumphreys","RT @DanScavino: Congratulations to our next President of the United States of America @realDonaldTrump! #TimePOY
#MakeAmericaGreatAgain htt‚Ä¶",1857,1,1,-95.712891,37.09024
"102","Angel19722","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",610,0,0,-95.9979883,41.2523634
"103","AngelaShowell","Tagline idea for whomever runs against Trump in 4yrs: #MakeAmericaGreatAgain. @VP take note!",0,1,1,-74.9564247,40.0158918
"104","angelicilda","@angelicilda. - This got2Be #fakenews. #Trump say he's goin to #MakeAmericaGreatAgain. An has best intrest of Our Country Wait for Announced",0,2,2,-74.0059413,40.7127837
"105","Angelmdunn1961","RT @NewtTrump: First they ignore you, then they laugh at you, then they fight you, and then you win. #MakeAmericaGreatAgain #PersonOfTheYea‚Ä¶",51,0,0,-80.1373174,26.1224386
"106","angie_lepus","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",613,0,0,-79.0192997,35.7595731
"107","AnilNS425","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",610,0,0,-122.1770818,48.0517637
"108","anjaligupta90","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",610,0,0,-122.1430195,37.4418834
"109","AnnieSpiczak","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",610,0,0,-111.0937311,34.0489281
"110","AnnmarieCarey20","RT @TheFoundingSon: The President we were waiting for so long!
#MakeAmericaGreatAgain https://t.co/Hm5uu6o9vD",58,0,0,-81.5157535,27.6648274
"111","antdebo14","RT @j_rikard: Shout out to the guy at the #ArmyNavyGameDay with the sign that says Hillary blew a 3-1 lead #Trump #MakeAmericaGreatAgain",25,2,2,-75.2385128,40.0595557
"112","APB4JETS","@realDonaldTrump the top of my Christmas tree this year!!! And yes we can say Merry Christmas again!!‚Ä¶ https://t.co/VVgJWYInaw",0,2,2,-74.4766712,40.4525163
"113","AppAltRight","""Ban #fakenews"" - @HillaryClinton. Guess restricting the first amendment will help @TheDemocrats in 2020. #MakeAmericaGreatAgain #youlost",0,0,0,-82.7818275,36.9067631
